library_title,kind,year,candidate_tconst,candidate_title,candidate_year,candidate_type,votes,ratio,accepted
Sailor Moon R: The Movie (English Dubbed),movie,1993,tt0109277,Sailor Moon S: The Movie - Hearts in Ice,1994,movie,2484,0.733,no
Sailor Moon R: The Movie (English Dubbed),movie,1993,tt0112513,Sailor Moon SuperS: The Movie: Black Dream Hole,1995,movie,2014,0.676,no
Sailor Moon R: The Movie (English Dubbed),movie,1993,tt0106417,Sailor Moon R: The Movie: The Promise of the Rose,1993,movie,3161,0.657,no
Sailor Moon S: The Movie (English Dubbed),movie,1994,tt0109277,Sailor Moon S: The Movie - Hearts in Ice,1994,movie,2484,0.767,no
Sailor Moon S: The Movie (English Dubbed),movie,1994,tt0112513,Sailor Moon SuperS: The Movie: Black Dream Hole,1995,movie,2014,0.676,no
Sailor Moon S: The Movie (English Dubbed),movie,1994,tt0112349,Sailor Moon Super S: Ami's First Love,1995,short,677,0.655,no
Sailor Moon SuperS: The Movie (English Dubbed),movie,1995,tt0112513,Sailor Moon SuperS: The Movie: Black Dream Hole,1995,movie,2014,0.767,no
Sailor Moon SuperS: The Movie (English Dubbed),movie,1995,tt0315296,Sailor Moon SuperS Specials,1995,tvMiniSeries,398,0.764,no
Sailor Moon SuperS: The Movie (English Dubbed),movie,1995,tt0112349,Sailor Moon Super S: Ami's First Love,1995,short,677,0.762,no
Spider-Man 2.1: Extended Cut,movie,2004,tt0316654,Spider-Man 2,2004,movie,790641,0.923,yes
Spider-Man 2.1: Extended Cut,movie,2004,tt21382374,Spider-Man 2,2004,video,,0.923,no
Spider-Man 2.1: Extended Cut,movie,2004,tt0413300,Spider-Man 3,2007,movie,704861,0.846,no
The X-Files: Fight the Future,movie,1998,tt7083566,The X Files - Fight the Future: Blooper Reel,1998,video,446,0.812,no
The X-Files: Fight the Future,movie,1998,tt40145196,The X Files: Fight the Future - Audio Commentary,1999,video,,0.767,no
The X-Files: Fight the Future,movie,1998,tt40145898,The X Files: FX - Behind the Truth,2000,video,,0.712,no
